#;LLR;kumul.;Häufig;links;rechts;Kookkurrenzen;syntagmatische Muster;

;171;422;60255;801;-2;-2;wie; 55% wie [... die] Maske

;172;422;60263;8;-4;5;Verkleidung Darstellende volkstümliche ;100% Kostüm Darstellende Kunst oder auf Maske dort wird dievolkstümliche Verkleidung

;;;60301;38;-4;5;Verkleidung ; 57% ohne Maske [und] Verkleidung

;173;418;60342;41;-5;5;Sicherheitsabstand; 60% mit|ohne Maske [und ...] Sicherheitsabstand

;174;414;60370;28;-5;5;persona; 71% persona [...] Maske

;175;412;60435;65;-5;5;Hände waschen ; 55% Abstand halten Hände [...] waschen [Abstand|und halten]Maske tragen ...

;;;60470;35;-5;5;Hände ; 74% die der Maske in die Hände

;176;409;60473;3;-5;5;Boxlegende; 66% Boxlegende Maske

;177;407;60475;2;-5;5;waschen halten ;100% waschen Abstand halten [...] Maske

;;;60484;9;-5;5;waschen ; 66% die Maske [... zu] waschen

;178;406;60485;1;3;3;Schwimmbadflossen Schwimmsachen mitzubringen ;100% Schwimmsachen ... Maske ... Schwimmbadflossenmitzubringen

;179;399;60493;8;-5;5;Carrey Jim ; 75% der ... Maske [von] Jim Carrey über ...

;;;60494;1;-5;5;Carrey ;100% Carrey ... Maske

;180;399;60528;34;-1;-1;perfekte; 97% für|Für die perfekte [...] Maske sorgt

;181;397;60605;77;-3;-2;jemand; 79% wenn jemand [keine|die] Maske

;182;397;60609;4;1;5;Frankfurt/Oder;100% Maske ... in Frankfurt/Oder

;183;389;60625;16;2;2;Agamemnon; 93% der|die Maske des Agamemnon

;184;388;60959;334;-1;-1;diese; 78% diese [...] Maske

;185;385;60987;28;-3;5;verrutscht; 75% die Maske [...] verrutscht

;186;384;61002;15;-1;-1;starre;100% die starre [...] Maske

;187;378;61003;1;2;5;Tutanchamun Reparaturversuch ;100% Reparaturversuch ... Maske ... Tutanchamun

;;;61023;20;2;5;Tutanchamun ; 80% die Maske des Tutanchamun

;188;378;61279;256;-5;4;halten; 51% Maske [tragen und Abstand] halten schützt

;189;375;61359;80;-5;-2;wer; 72% wer [... die] Maske trägt ...

;190;373;61504;145;-1;-1;trotz; 83% trotz [...] Maske

;191;368;61523;19;1;4;fallenlassen;100% die Maske [...] fallenlassen und

;192;362;61645;122;1;4;zuständig; 85% für die Maske [...] zuständig

;193;358;62063;418;-4;-3;wenn; 61% wenn [... die ...] Maske

;194;358;62093;30;2;5;Ring; 73% Maske ... am im|den Ring

;195;351;62095;2;-2;-1;Boxers;100% Boxers [...] Maske

